laptop_name,brand_name,hard_disc_size,disc-tech,RAM,screen_size,CPU,price_in_₸
 Lenovo ThinkPad L570,Lenovo,256,SSD,8,15.6,Core i5-6300U 2.4 ГГц,170900.0
 Lenovo ThinkPad T450S,Lenovo,160,SSD,8,14.0,Core i5-5300U 2.3 ГГц,171900.0
 Lenovo ThinkPad T440,Lenovo,500,HDD,4,14.0,Core i5-4200U 1.6 ГГц,172900.0
 Asus VivoBook Go L510KA,Asus,256,SSD,8,15.6,Pentium Silver-N6000 1.1 ГГц,173153.0
 Dell Latitude 7390,Dell,256,SSD,16,13.3,Core i5-8350U 1.7 ГГц,173900.0
 Lenovo ThinkPad T450S,Lenovo,512,SSD,12,14.0,"Core i7-5600U - 2,6 ГГц",173900.0
 Lenovo IdeaPad 3 14ALC6,Lenovo,256,SSD,8,14.0,Ryzen 3 5300U 2.6 ГГц,174240.0
 Fujitsu Lifebook T938,Fujitsu,256,SSD,8,13.0,Core i5-8350U 1.7 ГГц,175900.0
 Fujitsu Lifebook A744/h,Fujitsu,320,HDD,8,15.0,"Core i5 4300M - 2,6 ГГц",176300.0
 Lenovo IdeaPad 3 15ALC6,Lenovo,1024,HDD,8,15.6,Ryzen 3-5300U 2.6 ГГц,178975.0
 Fujitsu Lifebook A574,Fujitsu,240,SSD,4,15.6,Core i5-4300M 2.6 ГГц,179900.0
 Lenovo V15 G2 ALC,Lenovo,256,SSD,8,15.6,Ryzen 3 5300U 2.6 ГГц,179990.0
 HP 15s-fq3002ci,HP,256,SSD,4,15.6,Celeron-N4500 1.1 ГГц,181640.0
 Asus X515EA,Asus,256,SSD,8,15.6,Pentium Gold-7505 2.0 ГГц,182410.0
 Lenovo ThinkPad T460,Lenovo,256,SSD,16,14.0,Core i5-6300U 2.4 ГГц,182900.0
 Lenovo IdeaPad S145,Lenovo,1024,HDD,4,15.6,3020e 1.2 ГГц,183960.0
 Fujitsu Lifebook A744/h,Fujitsu,240,SSD,4,15.0,"Core i5 4300M - 2,6 ГГц",185800.0
 Lenovo ThinkPad T480,Lenovo,256,SSD,8,14.0,Core i5-8350U 1.7 ГГц,185900.0
 Dell Latitude E7270,Dell,256,SSD,8,12.0,"Core I5-6300U - 2,4 ГГц",185900.0
 HP EliteBook 820 G4,HP,256,SSD,8,12.0,Core i5-7200U 2.5 ГГц,186900.0
 Lenovo IdeaPad 3,Lenovo,1000,HDD,4,15.6,Celeron N4020 1.1 ГГц,188231.0
 Toshiba Portege Z30-C,Toshiba,128,SSD,8,13.3,"Core i5-6300U - 2,5 ГГц",188900.0
 Dell Latitude 7390,Dell,512,SSD,16,13.0,Core i5-8350U 1.7 ГГц,191900.0
 DELL Latitude E5480,Dell,256,SSD,8,14.0,Core i5-6300U 2400 MHz,192900.0
 Dell Latitude 5480,Dell,256,SSD,8,14.0,Core i5-7300U 2.6 ГГц,193500.0
 Dell Latitude 7390 2-in-1,Dell,256,SSD,8,13.3,Core i5-8350U 1.7 ГГц,194900.0
 Dell Latitude 7390,Dell,256,SSD,8,13.3,Core i5-8350U 1.7 ГГц,194900.0
 Lenovo ThinkPad T480,Lenovo,256,SSD,16,14.0,Core i5-8350U 1.7 ГГц,194900.0
 Lenovo IdeaPad 3 15ABA7,Lenovo,256,SSD,4,15.6,Ryzen 3-5425U 2.7 ГГц,196534.0
 Dell Precision M4600 8 Gb,Dell,256,SSD,8,15.0,Core i7-2720QM - 2.2 ГГц,196900.0
 Dell Latitude E5550,Dell,512,SSD,16,14.0,Core i5-5300U - 2.3 ГГц,196900.0
 Dell Latitude E7470 16 Gb,Dell,256,SSD,16,14.0,Core i5-6300U - 2.4 ГГц,197900.0
 Lenovo IdeaPad 3 Gen 7,Lenovo,128,SSD,4,15.6,Ryzen 3-5425U 2.7 ГГц,199222.0
 Lenovo V15 Gen 3,Lenovo,512,SSD,8,15.6,Ryzen 3-5425U 2.7 ГГц,200424.0
 Lenovo ThinkPad X1 Carbon,Lenovo,256,SSD,8,14.0,Core i7-6600U 2.6ГГц,201900.0
 Lenovo ThinkPad T480,Lenovo,256,SSD,32,14.0,Core i7-6600U 2.6 ГГц,202900.0
 Dell Inspiron 11-3168,Dell,500,HDD,4,11.6,Pentium N3710 1.6 ГГц,202900.0
 Fujitsu Lifebook A744/h,Fujitsu,240,SSD,8,15.0,"Core i5 4300M - 2,6 ГГц",203500.0
 Dell Latitude E5470,Dell,180,SSD,8,14.0,Core i5 6300U - 2.4 ГГц,203900.0
 HP EliteBook 840 G3,HP,500,HDD,8,14.0,Core i5-6300U 2.6 ГГц,204900.0
 Dell Precision M4700,Dell,256,SSD,8,15.0,Core i7-3720QM - 2.6 ГГц,204900.0
 Acer Spin 5 SP513-52N,Acer,256,SSD,8,13.0,Core i5-8250U 1.6 ГГц,206900.0
 Dell Latitude 5580,Dell,128,SSD,8,15.0,Core i7-7820U 2.7 ГГц,207900.0
 Dell Latitude E5480,Dell,256,SSD,16,14.0,Core i5-7300U 2.4 ГГц,210900.0
 Lenovo ThinkPad T560s,Lenovo,256,SSD,32,15.6,Core i7-6600U 2.6 ГГц,210900.0
 Lenovo ThinkPad T560,Lenovo,256,SSD,32,15.6,Core i7-6600U 2.6 ГГц,210900.0
 Lenovo IdeaPad 3 Gen 7,Lenovo,256,SSD,8,15.6,Ryzen 3-5425U 2.7 ГГц,211189.0
 Asus X515EA-BQ1189,Asus,256,SSD,8,15.6,Core i3-1115G4 3.0 ГГц,212514.0
 HP EliteBook 840 G3,HP,256,SSD,8,14.0,Core i5-7300U 2.6 ГГц,212900.0
 Lenovo ThinkPad T440S,Lenovo,240,SSD,12,14.0,Core i7-4600U - 2.1 ГГц,212900.0
 Lenovo IdeaPad 3 15IAU7,Lenovo,512,SSD,8,15.6,Core i3-1215U 1.2 ГГц,213283.0
 HP 250 G9,HP,256,SSD,8,15.6,Celeron N4500 1.1 ГГц,213675.0
 Lenovo IdeaPad Slim 3 Gen 8,Lenovo,512,SSD,8,14.0,Ryzen 3-7320U 2.4 ГГц,215990.0
 Asus Vivobook Go 14 E1404FA-EB019,Asus,256,SSD,8,14.0,Ryzen 3-7320U 2.4 ГГц,218333.0
 Lenovo IdeaPad Slim 3 Gen 8,Lenovo,256,SSD,8,15.6,Core i3-N305 1.8 ГГц,219188.0
 Lenovo IdeaPad 3 Gen 7,Lenovo,256,SSD,8,15.6,Core i3-1215U 1.2 ГГц,219815.0
 Lenovo V15 G3 IAP,Lenovo,256,SSD,8,15.6,Core i3-1215U 1.2 ГГц,219815.0
 Lenovo V15 G3 IAP,Lenovo,256,SSD,8,15.6,Core i3-1215U 1.2 ГГц,219815.0
 Lenovo ThinkPad T560,Lenovo,256,SSD,8,15.6,Core i5-6300U 2.4 ГГц,219900.0
 Lenovo V15 G3 IAP,Lenovo,256,SSD,8,15.6,Core i3-1215U 1.2 ГГц,219900.0
 Lenovo V15 Gen 2,Lenovo,1024,HDD,4,15.6,Ryzen 3-5300U 2.6 ГГц,219900.0
 Lenovo IdeaPad 1 15ADA7,Lenovo,256,SSD,8,15.6,Ryzen 3-3250U 2.6 ГГц,219900.0
 HP 14-ep0025i,HP,512,SSD,8,14.0,Core i3-N305 1.8 ГГц,220395.0
 Asus Vivobook Go 15 E510KA-EJ135W,Asus,256,SSD,8,15.6,Pentium Silver-N6000 1.1 ГГц,221160.0
 Leen Tech Leenbook 14V10,Leen Tech,256,SSD,8,14.1,Core i3-10110U 2.6 ГГц,222200.0
 HP 240 G8,HP,256,SSD,8,14.0,Celeron N4020 1.1 ГГц,225740.0
 Lenovo V15 G2 ALC,Lenovo,256,SSD,4,15.6,Ryzen 3-5300U 2.6 ГГц,226500.0
 Dell Latitude 5290,Dell,256,SSD,8,12.5,Core-i5 8350U 1.7 ГГц,226900.0
 Lenovo ThinkPad L560,Lenovo,256,SSD,8,15.6,Core i5-6300U 2.4 ГГц,229900.0
 Acer Aspire 3 A315-23-R1B3,Acer,256,SSD,4,15.6,Athlon Silver-3050U 2.3 ГГц,230900.0
 Dell Latitude 5590,Dell,256,SSD,8,15.6,Core i5-8350U 1.7 ГГц,231900.0
 Lenovo ThinkPad T450,Lenovo,500,HDD,4,14.0,Core i5 5300U - 2.3 ГГц,232900.0
 Lenovo ThinkPad X380 Yoga,Lenovo,256,SSD,8,13.3,Core i7-8550U 1.8ГГц,233900.0
 Lenovo IdeaPad 3 15IIL05,Lenovo,256,SSD,4,15.6,Core i3-1005G1 1.2 ГГц,234360.0
 Asus Vivobook Go 15 E1504GA,Asus,256,SSD,8,15.6,N200 1.0 ГГц,234598.0
 Lenovo ThinkPad T470s,Lenovo,256,SSD,8,14.0,Core i5-6300U 2.4 ГГц,234900.0
 Lenovo V15 G2 ALC,Lenovo,256,SSD,4,15.6,Ryzen 3-5300U 2.6 ГГц,235800.0
 HP 240 G8,HP,256,SSD,8,14.0,Celeron N4020 1.1 ГГц,236400.0
 Lenovo V14 G1 IML,Lenovo,1000,HDD,4,14.0,Core i3-10110U 2.1 ГГц,237500.0
 Lenovo IdeaPad 3 Gen 5,Lenovo,256,SSD,8,15.6,Core i3-10110U 2.1 ГГц,238739.0
 Dell Latitude 5480,Dell,256,SSD,8,14.0,Core i5 6300U 2.4 ГГц,239900.0
 Lenovo IdeaPad 3 Gen 7,Lenovo,256,SSD,8,15.6,Core i3-1215U 1.2 ГГц,240349.0
 Asus Vivobook 15 X1504ZA-BQ439,Asus,512,SSD,8,15.6,Core i3-1215U 1.2 ГГц,240574.0
 Asus ExpertBook B1 B1402CBA-EB0563,Asus,256,SSD,8,14.0,Core i3-1215U 1.2 ГГц,240604.0
 HP 17-cp2004ci,HP,256,SSD,8,17.3,Ryzen 3-7320U 2.4 ГГц,241490.0
 HP 15s-fq5043ci,HP,256,SSD,8,15.6,Core i3-1215U 1.2 ГГц,241490.0
 HP 15s-eq2013ci,HP,512,SSD,8,15.6,Ryzen 7-5700U 1.8 ГГц,241490.0
 Dell XPS 13 9370,Dell,256,SSD,16,13.0,Core i5-8350U 1.7ГГц,241900.0
 Dell Latitude 7370,Dell,256,SSD,8,13.3,Core m5-6Y57 1.1 ГГц,241900.0
 Dell Inspirion 15-3552,Dell,500,HDD,4,15.6,Celeron N3060 1.6 ГГц,241900.0
 Lenovo IdeaPad Slim 3 15IAH8,Lenovo,256,SSD,8,15.6,Core i5-12450H 2.0 ГГц,242203.0
 MSI Modern 14 C12MO-884XKZ,MSI,256,SSD,8,14.0,Core i3-1215U 1.2 ГГц,243656.0
 HP 250 G9,HP,256,SSD,8,15.6,Pentium N6000 1.1 ГГц,245438.0
 Asus X515EA-BQ868W,Asus,256,SSD,4,15.6,Core i3-1115G4 3.0 ГГц,245462.0
 Asus Vivobook 16 X1605ZA-MB321,Asus,512,SSD,8,16.0,Core i3-1215U 1.2 ГГц,245662.0
 HP 255 G8,HP,256,SSD,8,15.6,Ryzen 3-5300U 2.6 ГГц,245700.0
 Lenovo ThinkPad Yoga 370,Lenovo,256,SSD,8,13.3,Core i7-7500U 2.7 ГГц,245900.0
 Lenovo ThinkPad T495s,Lenovo,256,SSD,8,14.0,Ryzen 5-3500U 2.1 ГГц,245900.0
 Dell Latitude 3300,Dell,256,SSD,8,13.0,Core i5-8250U 1.6 ГГц,245900.0
 Lenovo ThinkPad Yoga 460,Lenovo,512,SSD,8,14.0,Core i5-6300U 2.4 ГГц,245900.0
 Asus ExpertBook B1 B1502CBA-BQ0392,Asus,512,SSD,8,15.6,Core i3-1215U 1.2 ГГц,246193.0
 Lenovo IdeaPad Slim 3 15IAH8,Lenovo,512,SSD,8,15.6,Core i5-12450H 2.0 ГГц,247188.0
 Asus ExpertBook B1 B1500CEAE-BQ2000T,Asus,256,SSD,8,15.6,Pentium Gold 7505 2.0 ГГц,248204.0
 Lenovo ThinkPad X1 Carbon,Lenovo,256,SSD,8,14.0,Core i5-6300U 2.4 ГГц,248900.0
 Asus X515EA-BQ1949W,Asus,256,SSD,8,15.6,Core i3-1115G4 3.0 ГГц,249244.0
 Acer Aspire 3 A315-57G,Acer,1024,HDD,4,15.6,Core i3-1005G1 1.2 ГГц,249301.0
 Lenovo IdeaPad Slim 3 Gen 8,Lenovo,256,SSD,8,16.0,U300 1.2 ГГц,249439.0
 Lenovo ThinkPad T580,Lenovo,512,SSD,8,15.6,Core i5- 8350U 1.7 ГГц,249900.0
 Lenovo IdeaPad 3 15IML05,Lenovo,1024,HDD,4,15.6,Core i3-10110U 2.1 ГГц,250075.0
 Dell Inspiron 15 3520,Dell,256,SSD,8,15.6,Core i3-1115G4 3.0 ГГц,250551.0
 Asus ExpertBook B1 B1502CBA,Asus,256,SSD,8,15.6,Core i3-1215U 1.2 ГГц,369900.0
 Dell Latitude 7389,Dell,256,SSD,8,13.3,Core i5-7200U 2.5 ГГц,250900.0
 HP EliteBook x360 1030 G3,HP,512,SSD,16,13.3,Core i5-8350U 1.7 ГГц,251900.0
 Asus X515EA-BQ1189W,Asus,256,SSD,8,15.6,Core i3-1115G4 3.0 ГГц,251952.0
 HP 14-ep0024ci,HP,512,SSD,8,14.0,Core i3-N305 1.8 ГГц,251990.0
 Asus X415EA-BV745W,Asus,128,SSD,4,14.0,Pentium Gold 7505 2.0 ГГц,252131.0
 Lenovo IdeaPad 3 15IML05,Lenovo,256,SSD,4,15.6,Core i3-10110U 2.1 ГГц,252220.0
 Asus ExpertBook B1 B1500CEAE,Asus,256,SSD,8,15.6,Core i3-1115G4 3.0 ГГц,252521.0
 HP Zbook 15 G2,HP,512,SSD,32,15.0,Core i7-4810MQ 2.8 ГГц,252900.0
 HP Europe EliteBook 840 G5,HP,256,HDD,8,14.0,Core i5 8350U - 1.7 ГГц,252900.0
 HP EliteBook 850 G3,HP,512,SSD,16,15.6,Core i5-6300U 2.4 ГГц,253900.0
 Lenovo IdeaPad 3 Gen 7,Lenovo,256,SSD,8,15.6,Core i5-1235U 1.3 ГГц,254008.0
 Dell XPS 13 9370,Dell,256,SSD,16,13.0,Core i5-8350U 1.7ГГц,254900.0
 Dell Latitude 7390 2-in-1,Dell,512,SSD,16,13.0,Core i7-8565U 1.8 ГГц,254900.0
 Dell Precision M6600,Dell,320,HDD,8,17.0,Core i5-2820 3.2 ГГц,254900.0
 Dell Vostro 3520,Dell,256,SSD,8,15.6,Core i3-1215U 1.2 ГГц,255340.0
 HP EliteBook 840 G3,HP,256,SSD,8,14.0,Core i5-7200U 2.5 ГГц,255900.0
 Asus ExpertBook Y1511CDA-BQ790,Asus,256,SSD,4,15.6,Ryzen 3-3250U 2.6 ГГц,256080.0
 MSI Modern 14 C12MO-883XKZ,MSI,512,SSD,8,14.0,Core i3-1215U 1.2 ГГц,256593.0
 HP 245 G9,HP,256,SSD,8,14.0,Ryzen 3-5425U 2.7 ГГц,256988.0
 Asus Vivobook 15 X1504VA-BQ281,Asus,512,SSD,8,15.6,Core i3-1315U 1.2 ГГц,257480.0
 Lenovo ThinkPad X260,Lenovo,256,SSD,8,12.5,Core i5-6200U 2.4 ГГц,257900.0
 Lenovo IdeaPad Slim 3 Gen 8,Lenovo,256,SSD,8,16.0,Core i3-1315U 1.2 ГГц,258677.0
 Lenovo IdeaPad 3 15IAU7,Lenovo,512,SSD,16,15.6,Core i5-1235U 1.3 ГГц,260423.0
 Lenovo V15 Gen 3,Lenovo,256,SSD,8,15.6,Core i3-1215U 0.9 ГГц,260600.0
 HP 15-db1214ur,HP,256,SSD,4,15.6,Ryzen 3 3200U 2600 МГц,261200.0
 HP 15s-eq1162ur,HP,256,SSD,8,15.6,Ryzen 3-3250U 2.6 ГГц,262395.0
 Lenovo ThinkPad W530,Lenovo,500,HDD,8,15.6,Сore i7-3840QM 2.8 ГГц,262900.0
 HP EliteBook 840 G6,HP,256,SSD,8,14.0,Core i5-8265U 1.6 ГГц,263900.0
 Lenovo ThinkPad T470s,Lenovo,512,SSD,12,14.0,Core i5 6300U - 2.4 ГГц,263900.0
 Dell Inspiron 15 3520,Dell,512,SSD,8,15.6,Core i3-1115G4 3.0 ГГц,264244.0
 Dell Latitude E5490,Dell,256,SSD,16,14.0,Core i5-7300U 2.6 ГГц,264900.0
 HP EliteBook 850 G3,HP,500,HDD,8,15.6,Core i5 6300U 2.4 ГГц,264900.0
 Lenovo V15 G2 ALC,Lenovo,1024,HDD,8,15.6,Ryzen 3-5300U 2.6 ГГц,265800.0
 HP EliteBook 830 G5,HP,512,SSD,8,13.3,"Core i5-8350U - 1,7 ГГц",265900.0
 Lenovo V15 G2 ITL,Lenovo,1000,HDD,4,15.6,Core i3 - 1115G4 3.0 Ггц,266100.0
 Lenovo IdeaPad Slim 3,Lenovo,512,SSD,8,15.6,Core i3-N305 3.2 ГГц,266313.0
 Lenovo IdeaPad L3 15ITL6,Lenovo,1024,HDD,4,15.6,Core i3-1115G4 3.0 ГГц,267200.0
 Lenovo V15 G2 ITL,Lenovo,1000,HDD,8,15.6,Core i3-1115G4 3.0 ГГц,268100.0
 HP 250 G8,HP,256,SSD,8,15.6,Core i3-1005G1 1.2 ГГц,268300.0
 Lenovo IdeaPad 3 15IIL05,Lenovo,256,SSD,4,15.6,Core i3-1005G1 1.2 ГГц,268987.0
 Dell Vostro 3520,Dell,512,SSD,8,15.6,Core i3-1215U 1.2 ГГц,269890.0
 Lenovo IdeaPad 3 15ITL6,Lenovo,256,SSD,4,15.6,Core i3-1115G4 3.0 ГГц,270100.0
 Dell Inspiron 15 3520,Dell,256,SSD,8,15.6,Core i5-1135G7 2.4 ГГц,270182.0
 Dell Latitude 5290,Dell,128,SSD,8,12.5,Core i5 8350U 1.7 ГГц,270300.0
 Lenovo V15 G3 IAP,Lenovo,256,SSD,8,15.6,Core i5-1235U 1.3 ГГц,270500.0
 Acer Aspire A315-56,Acer,1000,HDD,4,15.6,Core i3-1005G1 1.2 ГГц,270840.0
 Lenovo ThinkPad T460S,Lenovo,256,SSD,8,14.0,Core i7-6600U 2.4 ГГц,270900.0
 Lenovo IdeaPad 3 Gen 6,Lenovo,256,SSD,4,15.6,Core i3-1115G4 3.0 ГГц,271000.0
 Asus Vivobook 15X K3504ZA-BQ122,Asus,512,SSD,8,15.6,Core i3-1220P 1.1 ГГц,271174.0
 Asus Vivobook 17 X1704ZA,Asus,512,SSD,8,17.3,Core i3-1215U 1.2 ГГц,271534.0
 Asus Vivobook 15 X1504ZA-BQ078W,Asus,256,SSD,8,15.6,Core i3-1215U 1.2 ГГц,271534.0
 Dell Inspiron 5370,Dell,256,SSD,8,13.3,Core i5-8250U 1.6 ГГц,271900.0
 HP 15s-fq5040ci,HP,256,SSD,8,15.6,Core i3-1215U 1.2 ГГц,272990.0
 HP 15s-eq3075ci,HP,256,SSD,8,15.6,Ryzen 5-5625U 2.3 ГГц,272990.0
 Dell Vostro 3510,Dell,256,SSD,8,15.6,Core i3-1115G4 3.0 ГГц,273800.0
 Lenovo V15 G2 ALC,Lenovo,1000,HDD,8,15.6,Ryzen 5-5500U 2.1 ГГц,274100.0
 Lenovo IdeaPad 3 15ALC6,Lenovo,1000,HDD,8,15.6,Ryzen 5-5500U 2.1 ГГц,274550.0
 Lenovo ThinkPad T560s,Lenovo,256,SSD,8,15.6,Core i7-6600U 2.6 ГГц,274900.0
 HP 250 G8,HP,256,SSD,8,15.6,Core i3-1005G1 1.2 ГГц,274900.0
 Asus ExpertBook B1 B1400CEAE,Asus,256,SSD,4,14.0,Core i3-1115G4 3.0 ГГц,275164.0
 HP 255 G8,HP,256,SSD,8,15.6,Ryzen 3-5300U 2.6 ГГц,275400.0
 MSI Modern 14C13M-885XKZ,MSI,512,SSD,8,14.0,Core i3-1315U 1.2 ГГц,276000.0
 Dell Precision 7510,Dell,1000,HDD+SSD,32,15.6,Xeon E3-1505M 2.8 ГГц,276900.0
 Asus Vivobook Go 15 E1504FA-BQ164W,Asus,256,SSD,8,15.6,Ryzen 3-7320U 2.4 ГГц,277342.0
 HP 255 G8,HP,256,SSD,8,15.6,Ryzen 3-3250U 2.6 ГГц,278200.0
 Lenovo IdeaPad 1 15ADA7,Lenovo,256,SSD,8,15.6,Ryzen 3-3250U 2.6 ГГц,278800.0
 Dell Vostro 3501,Dell,1024,HDD,4,15.6,Core i3-1005G1 1.2 ГГц,278841.0
 Lenovo V15-ADA,Lenovo,128,SSD,4,15.6,Athlon Silver-3050U 2.3 ГГц,279700.0
 Dell Vostro 3401,Dell,1024,HDD,4,14.0,Core i3-1005G1 1.2 ГГц,279987.0
 Lenovo ThinkPad T570,Lenovo,512,HDD,8,15.6,Core i5-7300U 2.6 ГГц,280900.0
 Dell Inspiron 5370,Dell,256,SSD,8,13.3,Core i5 8250U 1.6 ГГц,280900.0
 HP EliteBook 840 G3,HP,256,SSD,8,14.0,Core i5 6300U - 2.4 ГГц,280900.0
 Lenovo IdeaPad L340-15API 256 GB,Lenovo,256,SSD,4,15.6,Ryzen 3 3200U (2x2600 МГц),281000.0
 Lenovo V15 G3 IAP ,Lenovo,512,SSD,8,15.6,Core i5-1235U 0.9 ГГц,281500.0
 HP 250 G9,HP,256,SSD,8,15.6,Core i3-1215U 1.3 Ггц,281820.0
 Lenovo ThinkPad P50,Lenovo,256,SSD,16,15.0,Core i7-6820HQ 2.7 ГГц,281900.0
 HP Europe 245 G8,HP,256,SSD,8,14.0,Ryzen 3-3250U 2.6 ГГц,281900.0
 Lenovo V15 G3 IAP,Lenovo,256,SSD,8,15.6,Intel Core i5-1235U,281938.0
